id,created_at,text,,
6.23934E+17,22-07-2015 19:13,Let's Go! So excited #WarnerBrosXSpringhillEnt http://t.co/y097rySpTq,,
6.23929E+17,22-07-2015 18:54,So proud of todayâ€™s announcement!! Canâ€™t wait to bring you guys some amazing stories. #WarnerBrosXSpringHillEnt,,
"https://t.co/YnLXoH8L6U""",,,,
6.23921E+17,22-07-2015 18:20,RT @TrainwreckMovie: Objectively speaking. According to EVERYONE. #Trainwreck http://t.co/v91AsuP0BQ  #AnneHathawaySaidAmyCouldWinAnOscar hâ€¦,,
6.2392E+17,22-07-2015 18:19,RT @Chase: See how @kingjames has a powerful impact on Akron's inner-city kids with @LJFamFoundation: http://t.co/ESj4Z771cL,,
"https://t.co/9â€¦""",,,,
6.23919E+17,22-07-2015 18:13,"RT @SRemorse_Starz: The Calloways are coming at you, and theyâ€™ve got a lot of balls. #SurvivorsRemorse",,
"https://t.co/QvzPzXGPeV""",,,,
6.23683E+17,22-07-2015 02:34,RT @Jim_ICE: What are thoooooooose! ,,
,,,,
"Thanks fam for the #TRAINWRECK joints. ðŸŽ¬ðŸŽ¥ðŸ€ http://t.co/PRcMzYr6L9""",,,,
6.23683E+17,22-07-2015 02:34,RT @KristenLedlow: Huge thanks to @KingJames and @nikebasketball for The #LeBron12 Low #Trainwreck! Can't wait to see the movie (again). htâ€¦,,
6.23294E+17,21-07-2015 00:49,RT @THR: .@AmySchumer's #Trainwreck Sees Huge LeBron James Boost in Cleveland http://t.co/S2qvOq32eD @KingJames http://t.co/ezXpZDYDMG,,
6.23293E+17,21-07-2015 00:45,RT @clarissap83: .@KingJames is legitimately the best thing about #Trainwreck. So funny.,,
6.23293E+17,21-07-2015 00:44,RT @GabyHenderson: Things I realized watching #Trainwreck- I have developed a huge crush on Bill Hader &amp; @KingJames has some serious comedyâ€¦,,
6.23292E+17,21-07-2015 00:43,RT @jimmyfallon: Ha!!!! It's all Bill. Go see Trainwreck!  https://t.co/hUMMaLIyu9,,
6.23292E+17,21-07-2015 00:42,"RT @steveo: I went to see #Trainwreck tonight but it was sold out. Then I went to a 2nd theater and it was sold out there, too. Congrats toâ€¦",,
6.23292E+17,21-07-2015 00:42,RT @sternshow: Congratulations to @amyschumer on her #Emmy nominations! (PS: Go see @TrainwreckMovie in theaters now!) #InsideAmy http://t.â€¦,,
